age,gender_label,gender_male,field_label,is_stem,academic_status,ai_course_experience,ai_usage_duration,ai_frequency_label,ai_frequency,weekly_time,confidence,self_rated_knowledge,3.1_correct,3.2_correct,3.3_correct,3.4_correct,3.5_correct,3.6_correct,3.7_correct,3.8_correct,3.9_correct,3.10_correct,3.11_correct,OLS,self_estimate,overconfidence_gap,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,competence_trust,perceived_risk,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,domain_low_stakes,domain_high_stakes,passed_math_check,passed_agree_check,passed_attention,timestamp
22.0,Male,1.0,Natural Sciences,1,Master's student,Yes (1 course),More than 2 years,Daily,5,3–7 hours,4.0,4.0,1,0,1,1,1,1,1,0,1,0,1,8,7.0,-1.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.3333333333333335,2.6,4.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.75,2.5,True,True,True,2026/06/04 12:18:25 PM MEZ
,Male,1.0,Natural Sciences,1,Master's student,Yes (2–3 courses),1–2 years,A few times a month,3,Less than 30 minutes,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.75,2.5,True,True,True,2026/06/04 12:39:02 PM MEZ
21.0,Male,1.0,Natural Sciences,1,Master's student,Yes (2–3 courses),1–2 years,A few times a month,3,I don't use them weekly,4.0,4.0,0,1,1,1,1,1,1,1,1,1,1,10,10.0,0.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,3.6666666666666665,2.6,3.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,3.5,2.0,True,True,True,2026/06/04 1:24:40 PM MEZ
23.0,Male,1.0,Computer Science/Informatics,1,Master's student,Yes (1 course),1–2 years,A few times a week,4,30–60 minutes,4.0,3.0,0,1,0,0,1,1,1,0,1,0,0,5,7.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.6666666666666665,3.8,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,2.25,True,True,True,2026/06/04 1:37:08 PM MEZ
22.0,Male,1.0,Computer Science/Informatics,1,Graduate working,No,More than 2 years,Daily,5,30–60 minutes,3.0,1.0,0,0,0,1,0,0,1,0,1,0,0,3,1.0,-2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.3333333333333335,2.8,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,3.25,True,True,True,2026/06/04 2:00:55 PM MEZ
27.0,Male,1.0,Computer Science/Informatics,1,Master's student,No,6–12 months,Daily,5,3–7 hours,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,3.1666666666666665,3.4,5.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.25,2.0,True,True,True,2026/06/04 2:13:36 PM MEZ
23.0,Male,1.0,Communication/Media/Journalism,0,Degree,No,More than 2 years,Multiple times per day,6,3–7 hours,2.0,2.0,0,0,0,1,0,1,1,0,1,1,0,5,0.0,-5.0,4.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.3333333333333335,3.4,4.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,3.75,3.0,True,True,True,2026/06/04 2:26:28 PM MEZ
25.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,1–3 hours,4.0,3.0,1,1,1,0,1,1,1,0,0,1,0,7,9.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,2.3333333333333335,3.8,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.75,2.25,True,True,True,2026/06/04 5:50:46 PM MEZ
22.0,Female,0.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),1–2 years,A few times a week,4,1–3 hours,4.0,4.0,1,0,1,1,1,1,1,0,1,1,0,8,7.0,-1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.3333333333333335,3.6,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.75,2.5,True,True,True,2026/06/04 5:53:22 PM MEZ
24.0,Male,1.0,Engineering/Technology,1,Graduate working,No,1–2 years,A few times a week,4,1–3 hours,4.0,3.0,1,0,0,0,1,1,0,0,0,0,0,3,11.0,8.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.6666666666666665,2.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.25,True,True,True,2026/06/04 10:57:58 PM MEZ
